Name,City,Country,IATAFAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST
Albuquerque International Sunport,"Albuquerque",United States,ABQ,KABQ,35.0402222,-106.6091944,5355,-7,A
Cancun Intl,"Cancun",Mexico,CUN,MMUN,21.036528,-86.877083,20,-6,S
Jacksonville Intl,"Jacksonville",United States,JAX,KJAX,30.494056,-81.687861,30,-5,A
Bradley Intl,"Windsor Locks",United States,BDL,KBDL,41.938889,-72.683222,173,-5,A
Kahului,"Kahului",United States,OGG,PHOG,20.89865,-156.430458,54,-10,N
Buffalo Niagara Intl,"Buffalo",United States,BUF,KBUF,42.940525,-78.732167,724,-5,A
Ontario Intl,"Ontario",United States,ONT,KONT,34.056,-117.601194,944,-8,A
Licenciado Benito Juarez Intl,"Mexico City",Mexico,MEX,MMMX,19.436303,-99.072097,7316,-6,S
Bob Hope,"Burbank",United States,BUR,KBUR,34.200667,-118.358667,778,-8,A
Ted Stevens Anchorage Intl,"Anchorage",United States,ANC,PANC,61.174361,-149.996361,152,-9,A
Schiphol,"Amsterdam",Netherlands,AMS,EHAM,52.308613,4.763889,-11,1,E
Eppley Afld,"Omaha",United States,OMA,KOMA,41.303167,-95.894069,984,-6,A
Vancouver Intl,"Vancouver",Canada,YVR,CYVR,49.193889,-123.184444,14,-8,A
Theodore Francis Green State,"Providence",United States,PVD,KPVD,41.732581,-71.420383,55,-5,A
Incheon Intl,"Seoul",South Korea,ICN,RKSI,37.469075,126.450517,23,9,U
Reno Tahoe Intl,"Reno",United States,RNO,KRNO,39.499108,-119.768108,4415,-8,A
Tucson Intl,"Tucson",United States,TUS,KTUS,32.116083,-110.941028,2643,-7,N
Will Rogers World,"Oklahoma City",United States,OKC,KOKC,35.393089,-97.600733,1295,-6,A
Norfolk Intl,"Norfolk",United States,ORF,KORF,36.894611,-76.201222,26,-5,A
Louisville International Airport,"Louisville",United States,SDF,KSDF,38.1740858,-85.7364989,501,-5,A
Richmond Intl,"Richmond",United States,RIC,KRIC,37.505167,-77.319667,167,-5,A
Pierre Elliott Trudeau Intl,"Montreal",Canada,YUL,CYUL,45.470556,-73.740833,118,-5,A
Spokane Intl,"Spokane",United States,GEG,KGEG,47.619861,-117.533833,2376,-8,A
El Paso Intl,"El Paso",United States,ELP,KELP,31.80725,-106.377583,3958,-7,A
Long Beach,"Long Beach",United States,LGB,KLGB,33.817722,-118.151611,60,-8,A
Birmingham Intl,"Birmingham",United States,BHM,KBHM,33.562942,-86.75355,644,-6,A
Guam Intl,"Agana",Guam,GUM,PGUM,13.48345,144.795983,298,10,U
Boise Air Terminal,"Boise",United States,BOI,KBOI,43.564361,-116.222861,2871,-7,A
Manchester Regional Airport,"Manchester NH",United States,MHT,KMHT,42.932556,-71.435667,266,-5,A
Tulsa Intl,"Tulsa",United States,TUL,KTUL,36.198389,-95.888111,677,-6,A
Kona Intl At Keahole,"Kona",United States,KOA,PHKO,19.738767,-156.045631,47,-10,N
Greater Rochester Intl,"Rochester",United States,ROC,KROC,43.118866,-77.672389,559,-5,A
James M Cox Dayton Intl,"Dayton",United States,DAY,KDAY,39.902375,-84.219375,1009,-5,A
Albany Intl,"Albany",United States,ALB,KALB,42.748267,-73.801692,285,-5,A
Calgary Intl,"Calgary",Canada,YYC,CYYC,51.113888,-114.020278,3557,-7,A
Lihue,"Lihue",United States,LIH,PHLI,21.975983,-159.338958,153,-10,N
Guarulhos Gov Andre Franco Montouro,"Sao Paulo",Brazil,GRU,SBGR,-23.432075,-46.469511,2459,-3,S
Adams Fld,"Little Rock",United States,LIT,KLIT,34.729444,-92.224306,262,-6,A
Hong Kong Intl,"Hong Kong",Hong Kong,HKG,VHHH,22.308919,113.914603,28,8,U
Gerald R Ford Intl,"Grand Rapids",United States,GRR,KGRR,42.880833,-85.522806,794,-5,A
Lynden Pindling Intl,"Nassau",Bahamas,NAS,MYNN,25.038958,-77.466231,16,-5,U
Sangster Intl,"Montego Bay",Jamaica,MBJ,MKJS,18.503717,-77.913358,4,-5,U
Las Americas Intl,"Santo Domingo",Dominican Republic,SDQ,MDSD,18.429664,-69.668925,59,-4,U
Syracuse Hancock Intl,"Syracuse",United States,SYR,KSYR,43.111187,-76.106311,421,-5,A
Barajas,"Madrid",Spain,MAD,LEMD,40.493556,-3.566764,2000,1,E
Westchester Co,"White Plains",United States,HPN,KHPN,41.066959,-73.707575,439,-5,A
Charleston Afb Intl,"Charleston",United States,CHS,KCHS,32.898647,-80.040528,45,-5,A
Don Miguel Hidalgo Y Costilla Intl,"Guadalajara",Mexico,GDL,MMGL,20.5218,-103.311167,5016,-6,S
Taoyuan Intl,"Taipei",Taiwan,TPE,RCTP,25.077731,121.232822,106,8,U
Fiumicino,"Rome",Italy,FCO,LIRF,41.804475,12.250797,15,1,E
Franz Josef Strauss,"Munich",Germany,MUC,EDDM,48.353783,11.786086,1487,1,E
Juan Santamaria Intl,"San Jose",Costa Rica,SJO,MROC,9.993861,-84.208806,3021,-6,U
Des Moines Intl,"Des Moines",United States,DSM,KDSM,41.533972,-93.663083,958,-6,A
Los Cabos Intl,"San Jose Del Cabo",Mexico,SJD,MMSD,23.15185,-109.721044,374,-7,S
Long Island Mac Arthur,"Islip",United States,ISP,KISP,40.79525,-73.100222,99,-5,A
City Of Colorado Springs Muni,"Colorado Springs",United States,COS,KCOS,38.805805,-104.700778,6187,-7,A
Portland Intl Jetport,"Portland",United States,PWM,KPWM,43.646161,-70.309281,77,-5,A
Piedmont Triad,"Greensboro",United States,GSO,KGSO,36.09775,-79.937306,925,-5,A
Mc Ghee Tyson,"Knoxville",United States,TYS,KTYS,35.810972,-83.994028,981,-5,A
Savannah Hilton Head Intl,"Savannah",United States,SAV,KSAV,32.127583,-81.202139,51,-5,A
Myrtle Beach Intl,"Myrtle Beach",United States,MYR,KMYR,33.67975,-78.928333,25,-5,A
Akron Canton Regional Airport,"Akron",United States,CAK,KCAK,40.9160833,-81.4421944,1228,-5,A
Wichita Mid Continent,"Wichita",United States,ICT,KICT,37.649944,-97.433056,1333,-6,A
Tocumen Intl,"Panama City",Panama,PTY,MPTO,9.071364,-79.383453,135,-5,U
Zurich,"Zurich",Switzerland,ZRH,LSZH,47.464722,8.549167,1416,1,E
Dane Co Rgnl Truax Fld,"Madison",United States,MSN,KMSN,43.139858,-89.337514,887,-6,A
Ben Gurion,"Tel-aviv",Israel,TLV,LLBG,32.011389,34.886667,135,2,U
Palm Springs Intl,"Palm Springs",United States,PSP,KPSP,33.829667,-116.506694,477,-8,A
Sydney Intl,"Sydney",Australia,SYD,YSSY,-33.946111,151.177222,21,10,O
Licenciado Gustavo Diaz Ordaz Intl,"Puerto Vallarta",Mexico,PVR,MMPR,20.680083,-105.254167,23,-6,S
Gatwick,"London",United Kingdom,LGW,EGKK,51.148056,-0.190278,202,0,E
Pensacola Rgnl,"Pensacola",United States,PNS,KPNS,30.473425,-87.186611,121,-6,A
El Salvador Intl,"San Salvador",El Salvador,SAL,MSLP,13.440947,-89.055728,101,-6,U
Dublin,"Dublin",Ireland,DUB,EIDW,53.421333,-6.270075,242,0,E
Capital Intl,"Beijing",China,PEK,ZBAA,40.080111,116.584556,116,8,U
Atlantic City Intl,"Atlantic City",United States,ACY,KACY,39.457583,-74.577167,75,-5,A
Dubai Intl,"Dubai",United Arab Emirates,DXB,OMDB,25.252778,55.364444,62,4,U
Sarasota Bradenton Intl,"Sarasota",United States,SRQ,KSRQ,27.395444,-82.554389,30,-5,A
Harrisburg Intl,"Harrisburg",United States,MDT,KMDT,40.193494,-76.763403,310,-5,A
Punta Cana Intl,"Punta Cana",Dominican Republic,PUJ,MDPC,18.567367,-68.363431,47,-4,U
Eldorado Intl,"Bogota",Colombia,BOG,SKBO,4.701594,-74.146947,8361,-5,U
Greenville-Spartanburg International,"Greenville",United States,GSP,KGSP,34.895556,-82.218889,964,-5,A
Burlington Intl,"Burlington",United States,BTV,KBTV,44.471861,-73.153278,335,-5,A
Hilo Intl,"Hilo",United States,ITO,PHTO,19.721375,-155.048469,38,-10,N
Jackson Evers Intl,"Jackson",United States,JAN,KJAN,32.311167,-90.075889,346,-6,A
Manchester,"Manchester",United Kingdom,MAN,EGCC,53.353744,-2.27495,257,0,E
Cyril E King,"St. Thomas",Virgin Islands,STT,TIST,18.337306,-64.973361,23,-4,U
Huntsville International Airport-Carl T Jones Field,"Huntsville",United States,HSV,KHSV,34.6371944,-86.7750556,629,-6,A
Jorge Chavez Intl,"Lima",Peru,LIM,SPIM,-12.021889,-77.114319,113,-5,U
Ministro Pistarini,"Buenos Aires",Argentina,EZE,SAEZ,-34.822222,-58.535833,67,-3,N
Pudong,"Shanghai",China,PVG,ZSPD,31.143378,121.805214,13,8,U
Reina Beatrix Intl,"Oranjestad",Aruba,AUA,TNCA,12.501389,-70.015221,60,-4,U
Fresno Yosemite Intl,"Fresno",United States,FAT,KFAT,36.776194,-119.71814,336,-8,A
Kansai,"Osaka",Japan,KIX,RJBB,34.4347222,135.244167,49,9,U
NW Arkansas Regional,"Bentonville",United States,XNA,KXNA,36.2818694,-94.3068111,1287,-6,A
Blue Grass,"Lexington KY",United States,LEX,KLEX,38.0365,-84.605889,979,-5,A
Orlando Sanford Intl,"Sanford",United States,SFB,KSFB,28.777639,-81.237489,55,-5,A
La Aurora,"Guatemala City",Guatemala,GUA,MGGT,14.583272,-90.527475,4952,-6,U
Newport News Williamsburg Intl,"Newport News",United States,PHF,KPHF,37.131894,-76.492989,43,-5,A
Ninoy Aquino Intl,"Manila",Philippines,MNL,RPLL,14.508647,121.019581,75,8,U
Brussels Natl,"Brussels",Belgium,BRU,EBBR,50.901389,4.484444,184,1,E
Lubbock Preston Smith Intl,"Lubbock",United States,LBB,KLBB,33.663639,-101.822778,3282,-6,A
Columbia Metropolitan,"Colombia",United States,CAE,KCAE,33.938833,-81.119528,236,-5,A
Bishop International,"Flint",United States,FNT,KFNT,42.965424,-83.743629,782,-5,A
Edmonton Intl,"Edmonton",Canada,YEG,CYEG,53.309723,-113.579722,2373,-7,A
Simon Bolivar Intl,"Caracas",Venezuela,CCS,SVMI,10.603117,-66.990583,235,-4,U
Quad City Intl,"Moline",United States,MLI,KMLI,41.448528,-90.507539,590,-6,A
Cedar Rapids,"Cedar Rapids",United States,CID,KCID,41.884694,-91.710806,869,-6,A
Midland Intl,"Midland",United States,MAF,KMAF,31.942528,-102.201914,2871,-6,A
Fairbanks Intl,"Fairbanks",United States,FAI,PAFA,64.815114,-147.856267,434,-9,A
Gulfport-Biloxi,"Gulfport",United States,GPT,KGPT,30.407278,-89.070111,28,-6,A
Norman Manley Intl,"Kingston",Jamaica,KIN,MKJP,17.935667,-76.7875,10,-5,U
Piarco,"Port-of-spain",Trinidad and Tobago,POS,TTPP,10.595369,-61.337242,58,-4,U
Galeao Antonio Carlos Jobim,"Rio De Janeiro",Brazil,GIG,SBGL,-22.808903,-43.243647,28,-3,S
Phoenix-Mesa Gateway,"Mesa",United States,AZA,KIWA,33.307833,-111.655,1382,-7,N
Lehigh Valley Intl,"Allentown",United States,ABE,KABE,40.652083,-75.440806,393,-5,A
Cibao Intl,"Santiago",Dominican Republic,STI,MDST,19.406092,-70.604689,565,-4,U
Wilmington Intl,"Wilmington",United States,ILM,KILM,34.270615,-77.902569,32,-5,A
Toussaint Louverture Intl,"Port-au-prince",Haiti,PAP,MTPP,18.58005,-72.292542,122,-5,U
Rick Husband Amarillo Intl,"Amarillo",United States,AMA,KAMA,35.219369,-101.705931,3607,-6,A
Billings Logan International Airport,"Billings",United States,BIL,KBIL,45.80921,-108.537654,3652,-7,A
Francisco C Ada Saipan Intl,"Saipan",Northern Mariana Islands,SPN,PGSN,15.119003,145.729356,215,10,U
St Petersburg Clearwater Intl,"St. Petersburg",United States,PIE,KPIE,27.910167,-82.687389,10,-5,A
Bellingham Intl,"Bellingham",United States,BLI,KBLI,48.792694,-122.537528,170,-8,A
Springfield Branson Natl,"Springfield",United States,SGF,KSGF,37.245667,-93.388639,1268,-6,A
Baton Rouge Metro Ryan Fld,"Baton Rouge",United States,BTR,KBTR,30.533167,-91.149639,70,-6,A
Valley Intl,"Harlingen",United States,HRL,KHRL,26.2285,-97.654389,36,-6,A
Dusseldorf,"Duesseldorf",Germany,DUS,EDDL,51.289453,6.766775,147,1,E
Santa Barbara Muni,"Santa Barbara",United States,SBA,KSBA,34.426211,-119.840372,10,-8,A
Ottawa Macdonald Cartier Intl,"Ottawa",Canada,YOW,CYOW,45.3225,-75.669167,374,-5,A
Mahlon Sweet Fld,"Eugene",United States,EUG,KEUG,44.124583,-123.211972,374,-8,A
Asheville Regional Airport,"Asheville",United States,AVL,KAVL,35.436194,-82.541806,2165,-5,A
Gallatin Field,"Bozeman",United States,BZN,KBZN,45.777643,-111.160151,4500,-7,A
Hector International Airport,"Fargo",United States,FAR,KFAR,46.92065,-96.8157639,902,-6,A
Sioux Falls,"Sioux Falls",United States,FSD,KFSD,43.582014,-96.741914,1429,-6,A
Eglin Afb,"Valparaiso",United States,VPS,KVPS,30.48325,-86.5254,87,-6,A
General Mariano Escobedo Intl,"Monterrey",Mexico,MTY,MMMY,25.778489,-100.106878,1278,-6,S
Austin Straubel Intl,"Green Bay",United States,GRB,KGRB,44.485072,-88.129589,695,-6,A
Arturo Merino Benitez Intl,"Santiago",Chile,SCL,SCEL,-33.392975,-70.785803,1555,-4,S
Princess Juliana Intl,"Philipsburg",Netherlands Antilles,SXM,TNCM,18.040953,-63.1089,14,-4,U
Corpus Christi Intl,"Corpus Christi",United States,CRP,KCRP,27.770361,-97.501222,44,-6,A
Mc Allen Miller Intl,"Mcallen",United States,MFE,KMFE,26.175833,-98.238611,107,-6,A
Kastrup,"Copenhagen",Denmark,CPH,EKCH,55.617917,12.655972,17,1,E
Owen Roberts Intl,"Georgetown",Cayman Islands,GCM,MWCR,19.292778,-81.35775,8,-5,U
Tallahassee Rgnl,"Tallahassee",United States,TLH,KTLH,30.396528,-84.350333,81,-5,A
Auckland Intl,"Auckland",New Zealand,AKL,NZAA,-37.008056,174.791667,23,12,Z
Changi Intl,"Singapore",Singapore,SIN,WSSS,1.350189,103.994433,22,8,U
South Bend Rgnl,"South Bend",United States,SBN,KSBN,41.708661,-86.31725,799,-5,A
Roanoke Regional,"Roanoke VA",United States,ROA,KROA,37.325472,-79.975417,1175,-5,A
Tri Cities Airport,"Pasco",United States,PSC,PSC,46.2647,-119.119,410,-8,A
Rogue Valley Intl Medford,"Medford",United States,MFR,KMFR,42.374228,-122.8735,1335,-8,A
Bermuda Intl,"Bermuda",Bermuda,BDA,TXKF,32.364042,-64.678703,12,-4,U
Barcelona,"Barcelona",Spain,BCN,LEBL,41.297078,2.078464,12,1,E
Chubu Centrair Intl,"Nagoya",Japan,NGO,RJGG,34.858414,136.805408,15,9,U
Rapid City Regional Airport,"Rapid City",United States,RAP,KRAP,44.045278,-103.057222,3204,-7,A
Lovell Fld,"Chattanooga",United States,CHA,KCHA,35.035278,-85.203808,683,-5,A
Juneau Intl,"Juneau",United States,JNU,PAJN,58.354972,-134.576278,21,-9,A
Missoula Intl,"Missoula",United States,MSO,KMSO,46.916306,-114.090556,3205,-7,A
Jackson Hole Airport,"Jacksn Hole",United States,JAC,KJAC,43.607333333,-110.73775,6451,-7,A
Key West Intl,"Key West",United States,EYW,KEYW,24.556111,-81.759556,3,-5,A
Mobile Rgnl,"Mobile",United States,MOB,KMOB,30.691231,-88.242814,219,-6,A
Central Illinois Rgnl,"Bloomington",United States,BMI,KBMI,40.477111,-88.915917,871,-6,A
Fort Wayne,"Fort Wayne",United States,FWA,KFWA,40.978472,-85.195139,815,-5,A
Appleton,"Appleton",United States,ATW,KATW,44.257526,-88.507576,680,-6,A
Doha Intl,"Doha",Qatar,DOH,OTBD,25.261125,51.565056,35,4,U
Yeager,"Charleston",United States,CRW,KCRW,38.373147,-81.593189,981,-5,A
Managua Intl,"Managua",Nicaragua,MGA,MNMG,12.141494,-86.168178,194,-6,U
Fayetteville Regional Grannis Field,"Fayetteville",United States,FAY,KFAY,34.9912,-78.8803,189,-5,A
Panama City-NW Florida Bea.,"Panama City",United States,ECP,KECP,30.3417,-85.7973,69,-6,A
Malpensa,"Milano",Italy,MXP,LIMC,45.630606,8.728111,767,1,E
Peoria Regional,"Peoria",United States,PIA,KPIA,40.664203,-89.693258,660,-6,A
Mariscal Sucre Intl,"Quito",Ecuador,UIO,SEQU,-0.141144,-78.488214,9228,-5,U
Ataturk,"Istanbul",Turkey,IST,LTBA,40.976922,28.814606,163,2,E
Daytona Beach Intl,"Daytona Beach",United States,DAB,KDAB,29.179917,-81.058056,34,-5,A
Augusta Rgnl At Bush Fld,"Bush Field",United States,AGS,KAGS,33.369944,-81.9645,144,-5,A
Jose Joaquin De Olmedo Intl,"Guayaquil",Ecuador,GYE,SEGU,-2.157419,-79.883558,19,-5,U
Shreveport Rgnl,"Shreveport",United States,SHV,KSHV,32.446629,-93.8256,258,-6,A
Rafael Hernandez,"Aguadilla",Puerto Rico,BQN,TJBQ,18.494861,-67.129444,237,-4,U
La Mesa Intl,"San Pedro Sula",Honduras,SAP,MHLM,15.452639,-87.923556,91,-6,U
Winnipeg Intl,"Winnipeg",Canada,YWG,CYWG,49.910036,-97.239886,783,-6,A
Indira Gandhi Intl,"Delhi",India,DEL,VIDP,28.5665,77.103088,777,5.5,N
Roberts Fld,"Redmond-Bend",United States,RDM,KRDM,44.254066,-121.149964,3077,-8,A
Aspen Pitkin County Sardy Field,"Aspen",United States,ASE,KASE,39.2232,-106.869,7820,-7,A
Grantley Adams Intl,"Bridgetown",Barbados,BGI,TBPB,13.074603,-59.492456,169,-4,U
Grand Junction Regional,"Grand Junction",United States,GJT,KGJT,39.122413,-108.526735,4858,-7,A
Lafayette Rgnl,"Lafayette",United States,LFT,KLFT,30.205278,-91.987611,43,-6,A
Arlanda,"Stockholm",Sweden,ARN,ESSA,59.651944,17.918611,137,1,E
Johannesburg Intl,"Johannesburg",South Africa,JNB,FAJS,-26.139166,28.246,5558,2,U
Sheremetyevo,"Moscow",Russia,SVO,UUEE,55.972642,37.414589,622,4,N
Providenciales,"Providenciales",Turks and Caicos Islands,PLS,MBPV,21.773625,-72.265886,15,-5,U
Robert Gray Aaf,"Killeen",United States,GRK,KGRK,31.06725,-97.828917,1015,-6,A
Wilkes Barre Scranton Intl,"Scranton",United States,AVP,KAVP,41.338478,-75.723403,962,-5,A
Eagle Co Rgnl,"Vail",United States,EGE,KEGE,39.642556,-106.917694,6540,-7,A
Tri-Cities Regional Airport,"BRISTOL",United States,TRI,KTRI,36.4752222,-82.4074167,1519,-5,A
Stewart Intl,"Newburgh",United States,SWF,KSWF,41.504094,-74.104839,491,-5,A
City Centre,"Toronto",Canada,YTZ,CYTZ,43.627499,-79.396167,251,-5,A
Charlottesville-Albemarle,"Charlottesville VA",United States,CHO,KCHO,38.138639,-78.452861,639,-5,A
Bismarck Municipal Airport,"Bismarck",United States,BIS,KBIS,46.775842,-100.757931,1661,-6,A
Chhatrapati Shivaji Intl,"Bombay",India,BOM,VABB,19.088686,72.867919,37,5.5,N
Jose Marti Intl,"Havana",Cuba,HAV,MUHA,22.989153,-82.409086,210,-5,U
Bangor Intl,"Bangor",United States,BGR,KBGR,44.807444,-68.828139,192,-5,A
Montgomery Regional Airport ,"MONTGOMERY",United States,MGM,KMGM,32.3006389,-86.3939722,221,-6,A
Monterey Peninsula,"Monterey",United States,MRY,KMRY,36.587,-121.842944,257,-8,A
Henry E Rohlsen,"St. Croix Island",Virgin Islands,STX,TISX,17.701889,-64.798556,74,-4,U
Jose Maria Cordova,"Rio Negro",Colombia,MDE,SKRG,6.164536,-75.423119,6955,-5,U
Halifax Intl,"Halifax",Canada,YHZ,CYHZ,44.880833,-63.50861,477,-4,A
Philip S W Goldson Intl,"Belize City",Belize,BZE,MZBZ,17.539144,-88.308203,15,-6,U
Cozumel Intl,"Cozumel",Mexico,CZM,MMCZ,20.522403,-86.925644,15,-6,S
Melbourne Intl,"Melbourne",United States,MLB,KMLB,28.102753,-80.645258,33,-5,A
Daniel Oduber Quiros Intl,"Liberia",Costa Rica,LIR,MRLB,10.593289,-85.544408,270,-6,U
Glacier Park Intl,"Kalispell",United States,FCA,KFCA,48.310472,-114.256,2977,-7,A
Evansville Regional,"Evansville",United States,EVV,KEVV,38.036997,-87.532364,418,-6,A
Keflavik International Airport,"Keflavik",Iceland,KEF,BIKF,63.985,-22.605556,171,0,N
Geneva Cointrin,"Geneva",Switzerland,GVA,LSGG,46.238064,6.10895,1411,1,E
Shannon,"Shannon",Ireland,SNN,EINN,52.701978,-8.924817,46,0,E
Cherry Capital Airport,"Traverse City",United States,TVC,KTVC,44.741445,-85.582235,624,-5,A
Okecie,"Warsaw",Poland,WAW,EPWA,52.16575,20.967122,362,1,E
Gregorio Luperon Intl,"Puerto Plata",Dominican Republic,POP,MDPP,19.7579,-70.570033,15,-4,U
Durango La Plata Co,"Durango",United States,DRO,KDRO,37.151516,-107.75377,6685,-7,A
Guanajuato Intl,"Del Bajio",Mexico,BJX,MMLO,20.993464,-101.480847,5956,-6,S
Albert J Ellis,"Jacksonville NC",United States,OAJ,KOAJ,34.829164,-77.612139,94,-5,A
Melbourne Intl,"Melbourne",Australia,MEL,YMML,-37.673333,144.843333,434,10,O
Abu Dhabi Intl,"Abu Dhabi",United Arab Emirates,AUH,OMAA,24.432972,54.651138,88,4,U
Gainesville Rgnl,"Gainesville",United States,GNV,KGNV,29.690056,-82.271778,152,-5,A
Eleftherios Venizelos Intl,"Athens",Greece,ATH,LGAV,37.936358,23.944467,308,2,E
Great Falls Intl,"Great Falls",United States,GTF,KGTF,47.482,-111.370689,3677,-7,A
Central Wisconsin,"Wassau",United States,CWA,KCWA,44.772726,-89.646635,840,-6,A
Cairo Intl,"Cairo",Egypt,CAI,HECA,30.121944,31.405556,382,2,U
Duluth Intl,"Duluth",United States,DLH,KDLH,46.842091,-92.193649,1428,-6,A
Alexandria Intl,"Alexandria",United States,AEX,KAEX,31.3274,-92.549833,89,-6,A
